date,Close,LA,Close_ADR,LA_ADR,Volume_ADR,SMA10,DIF12-26,MACD9,OSC,BIAS5,BIAS10,BIAS20,AR10,Oscillators,5-10MA-Osc,CCI14,CCI28,CCI42,PYS12,PYS24,BR10,MTM10,MA10,ACC10,ATR14,RSI 6,RSI 12,BBand width,RC12,"ERC(12, 12)",9-25MI,HL-Osc,TRIX9,TRIX15,0,ADX10,ADX10,"K(9,3)",J,WA/D,VHF10,Volume,MA5,MA10,MA20,MA60,PVC10,VRC12,OBV,EMV,EMVA10,MFI6,VR10,VA-Osc,FinMaintanR,TAIEXClose,LegalPerson5,LegalPerson10,2303Close,SecurityAssetRate,SecurityBalance,BalanceFinance,BuyAndSellSuper,SecurityTrader5,SecurityTrader10,MainForce5,MainForces10,Volatility
2018/7/2,214,1,,,,219.3,-3.76,-2.57,-1.19,0,-0.02,-0.05,0.92,42.72,-5.3,-86.65,-165.64,-89.62,0.42,0.42,0.06,-17,-9.65,-24,5.07,0.34,0.36,0.11,-0.08,-0.04,25.08,50,-0.33,-0.14,17.51,28.95,24.26,0.22,0.2,-22,0.5,33496,38621,42080,36718,35680,-0.2,-0.07,-929633,2.99,-0.41,29.09,0.58,-33496,1.58,10777.94,-982,20351502,18.2,0.03,547,18368,1848,-256,1520549,9607,9863,0.22
2018/7/3,214.5,1,33.9663,0,7365505,218.25,-3.81,-2.81,-1,0,-0.02,-0.04,1,40.08,-4.25,-73.7,-149.86,-94.91,0.5,0.46,0.41,-10.5,-10.3,-6.5,5.04,0.36,0.37,0.11,-0.05,-0.04,25.3,88.89,-0.35,-0.16,15.82,27.22,24.49,0.23,0.23,-21,0.61,28663,35738,38832,36588,35561,-0.26,-0.22,-900970,-1.18,-0.44,31.88,0.89,-15923.89,1.58,10715.72,-143,20353118,17.95,0.04,688,18549,-1022,322,1520871,10471,10149,0.21
2018/7/4,216,0,33.8269,0,6512599,217.25,-3.72,-3,-0.73,0.01,-0.01,-0.03,0.85,39.67,-2.65,-47.99,-117,-87.4,0.5,0.5,0.47,-10,-11,-7,4.96,0.43,0.4,0.09,-0.06,-0.05,25.39,100,-0.35,-0.18,14.76,25.41,24.69,0.27,0.32,-19.5,0.6,15359,30637,36297,35970,35226,-0.58,-0.69,-885611,0.98,-0.39,44.39,0.77,-7679.5,1.6,10721.87,2247,20355675,17.95,0.04,726,18144,622,2089,1522960,8839,6750,0.21
2018/7/5,214.5,1,33.8269,1,6512599,216.05,-3.77,-3.15,-0.62,0,-0.01,-0.03,0.89,39.93,-0.95,-59.74,-133.49,-108.92,0.5,0.46,0.31,-12,-11.85,-8.5,4.79,0.38,0.38,0.08,-0.05,-0.05,25.36,-33.33,-0.35,-0.19,13.74,29.41,25.85,0.32,0.43,-21,0.57,18225,26518,34862,35363,35109,-0.48,-0.7,-903836,-2.74,-0.76,50.22,0.56,9112.5,1.59,10611.81,-3392,20355541,17.95,0.04,686,18315,-116,-1358,1521602,6969,8327,0.21
2018/7/6,217,1,34.0128,1,9231130,215,-3.57,-3.24,-0.34,0.01,0.01,-0.02,0.67,41.09,0.2,-21.44,-88.31,-85.38,0.5,0.5,0.43,-10.5,-12.65,-8,4.5,0.49,0.44,0.03,-0.04,-0.04,25.29,100,-0.34,-0.2,18.7,27.31,25.14,0.47,0.75,-18.5,0.21,31345,25418,33576,35666,35268,-0.07,-0.23,-872491,1.79,-0.48,71.49,0.5,18807,1.6,10608.57,-2803,20353888,17.6,0.04,709,18058,3343,1799,1523401,16174,14375,0.22
2018/7/9,221.5,1,34.6449,1,7260331,215.35,-3.02,-3.19,0.17,0.02,0.03,0,0.85,43.5,1.35,35.2,-21.79,-38.74,0.5,0.5,1.74,3.5,-11.4,12.5,4.43,0.64,0.52,0.05,-0.02,-0.04,25.32,100,-0.29,-0.2,28.68,23.58,23.6,0.61,0.98,-14,0.4,41166,26952,32786,36515,35613,0.26,0.26,-831325,4.92,0.34,72.4,0.88,13722,1.64,10720.28,12181,20366289,17.65,0.06,995,15897,2477,10391,1533792,19307,8916,0.22
2018/7/10,222,0,35.1655,1,7124209,216.1,-2.44,-3.04,0.6,0.02,0.03,0.01,0.97,43.44,2.1,55.08,2.07,-20.27,0.5,0.54,3.73,7.5,-9.5,19,4.32,0.65,0.53,0.06,-0.02,-0.04,25.33,100,-0.24,-0.19,29.36,22.17,22.63,0.69,1.05,-13.5,0.49,20197,25258,30498,36423,35617,-0.34,-0.54,-811128,2.23,0.97,70.17,1.32,-20197,1.64,10756.89,47,20366679,17,0.07,1085,15642,1232,2446,1536238,9925,7479,0.22
2018/7/11,220,1,35.2584,0,7211545,216.8,-2.2,-2.87,0.67,0,0.01,0,1.06,44.95,2.2,23.05,-46.8,-53.24,0.5,0.5,2.58,7,-7.2,23,4.46,0.55,0.49,0.06,0.01,-0.03,25.25,-50,-0.19,-0.19,26.55,29.62,20.92,0.68,0.91,-15.5,0.48,19855,26158,28397,35906,35588,-0.3,-0.6,-830983,-4.03,0.57,74.16,1.57,19855,1.63,10676.84,-4581,20362652,16.9,0.06,1027,15940,928,-1295,1534943,5198,6493,0.22
2018/7/12,220.5,1,34.366,1,7316218,217.65,-1.93,-2.68,0.76,0,0.01,0,1.16,47.06,2.55,36.35,-31.53,-41.21,0.58,0.54,2.94,8.5,-4.35,28.5,4.5,0.57,0.5,0.05,0.03,-0.02,25.24,50,-0.14,-0.18,28.8,26.77,19.19,0.68,0.83,-13,0.39,23806,27274,26896,35293,35272,-0.11,-0.45,-807177,1.68,0.97,75.63,2.76,5951.5,1.63,10738.38,-1996,20360877,17.45,0.07,1060,15786,3075,33,1534976,11341,11308,0.22
2018/7/13,224.5,0,34.6821,1,5275251,218.45,-1.39,-2.43,1.03,0.01,0.03,0.02,0.97,50.6,3.25,73.59,26.67,0.94,0.67,0.58,3.69,8,-2.55,18,4.11,0.7,0.57,0.06,0.05,-0.01,25.15,100,-0.09,-0.16,32.05,24.19,18.67,0.79,1.03,-9,0.53,30419,27089,26253,34967,35033,0.16,-0.26,-776758,2.3,0.89,88.16,2.67,30419,1.66,10864.54,3514,20367554,17.4,0.08,1191,14908,869,5776,1540752,20891,15115,0.21
